dataset,surrogate,target,attack,sample_id,success,queries,steps,linf,error
cifar10,resnet18,vgg16,mifgsm,81,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,82,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,83,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,84,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,85,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,86,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,87,False,0,25,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,88,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,89,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,90,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,91,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,92,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,93,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,94,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,95,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,96,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,97,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,98,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,99,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,0,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,1,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,2,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,3,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,4,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,5,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,6,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,7,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,8,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,9,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,10,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,11,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,12,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,13,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,14,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,15,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,16,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,17,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,18,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,19,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,20,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,21,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,22,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,23,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,24,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,25,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,26,True,17,1,0.007843151688575745,
cifar10,resnet18,vgg16,nes_only,27,False,426,25,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,28,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,29,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,30,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,31,True,153,9,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,32,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,33,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,34,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,35,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,36,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,37,True,68,4,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,38,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,39,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,40,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,41,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,42,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,43,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,44,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,45,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,46,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,47,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,48,True,85,5,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,49,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,50,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,51,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,52,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,53,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,54,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,55,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,56,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,57,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,58,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,59,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,60,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,61,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,62,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,63,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,64,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,65,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,66,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,67,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,68,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,69,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,70,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,71,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,72,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,73,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,74,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,75,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,76,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,77,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,78,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,79,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,80,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,81,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,82,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,83,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,84,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,85,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,86,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,87,False,426,25,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,88,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,89,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,90,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,91,True,136,8,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,92,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,93,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,94,True,17,1,0.007843166589736938,
