[2026-05-18T03:16:54] [INFO] Experiment ID: 20260518_031654
[2026-05-18T03:16:54] [INFO] Device: mps
[2026-05-18T03:16:54] [INFO] Config: ExperimentConfig(attack=AttackConfig(epsilon=0.03137254901960784, alpha=0.00784313725490196, iters=10), ensemble=EnsembleConfig(fgsm_weight=0.4, pgd_weight=0.3, bim_weight=0.3), reproducibility=ReproducibilityConfig(seed=42, deterministic=False, benchmark=True), batch_size=128, num_epochs=10, learning_rate=0.001, num_workers=None, pin_memory=None, data_dir='./data', prefer_cuda=False, device_warmup=True, device_warmup_iters=3, verbose=True, log_dir='outputs/logs')
[2026-05-18T03:16:54] [INFO] Loading CIFAR-10 with batch_size=128
[2026-05-18T03:16:56] [INFO] Train batches: 391, Test batches: 79
[2026-05-18T03:18:42] [INFO] Batch 150: loss=1.1492, acc=0.5781
[2026-05-18T03:18:43] [INFO] Batch 160: loss=1.2456, acc=0.6016
[2026-05-18T03:18:45] [INFO] Batch 170: loss=1.4066, acc=0.5000
[2026-05-18T03:18:47] [INFO] Batch 180: loss=1.2108, acc=0.6016
[2026-05-18T03:18:49] [INFO] Batch 190: loss=1.1936, acc=0.5625
[2026-05-18T03:18:50] [INFO] Batch 200: loss=1.3577, acc=0.5234
[2026-05-18T03:18:52] [INFO] Batch 210: loss=1.2958, acc=0.5391
[2026-05-18T03:18:53] [INFO] Batch 220: loss=1.2527, acc=0.5547
[2026-05-18T03:18:55] [INFO] Batch 230: loss=1.1899, acc=0.5234
[2026-05-18T03:18:57] [INFO] Batch 240: loss=1.2589, acc=0.5781
[2026-05-18T03:18:58] [INFO] Batch 250: loss=0.9634, acc=0.6328
[2026-05-18T03:19:00] [INFO] Batch 260: loss=1.0721, acc=0.6406
[2026-05-18T03:19:02] [INFO] Batch 270: loss=1.0886, acc=0.5938
[2026-05-18T03:19:03] [INFO] Batch 280: loss=1.1562, acc=0.5859
[2026-05-18T03:19:05] [INFO] Batch 290: loss=1.1100, acc=0.6250
[2026-05-18T03:19:06] [INFO] Batch 300: loss=1.0146, acc=0.6016
[2026-05-18T03:19:08] [INFO] Batch 310: loss=1.2258, acc=0.5469
[2026-05-18T03:19:10] [INFO] Batch 320: loss=1.0934, acc=0.6172
[2026-05-18T03:19:11] [INFO] Batch 330: loss=1.0668, acc=0.6797
[2026-05-18T03:19:13] [INFO] Batch 340: loss=1.0065, acc=0.5938
[2026-05-18T03:19:14] [INFO] Batch 350: loss=1.0278, acc=0.5781
[2026-05-18T03:19:16] [INFO] Batch 360: loss=1.0365, acc=0.6094
[2026-05-18T03:19:18] [INFO] Batch 370: loss=1.0587, acc=0.5859
