dataset,surrogate,target,attack,sample_id,success,queries,steps,linf,error
cifar10,resnet18,vgg16,nes_only,32,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,33,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,34,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,35,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,36,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,37,True,17,1,0.007843151688575745,
cifar10,resnet18,vgg16,nes_only,38,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,39,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,40,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,41,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,42,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,43,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,44,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,45,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,46,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,47,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,48,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,49,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,0,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,1,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,2,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,3,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,4,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,5,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,6,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,7,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,8,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,9,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,10,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,11,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,12,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,13,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,14,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,15,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,16,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,17,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,18,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,19,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,20,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,21,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,22,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,23,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,24,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,25,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,26,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,27,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,28,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,29,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,30,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,31,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,32,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,33,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,34,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,35,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,36,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,37,True,17,1,0.007843151688575745,
cifar10,resnet18,vgg16,static_hybrid,38,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,39,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,40,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,41,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,42,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,43,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,44,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,45,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,46,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,47,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,48,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,49,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,0,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,elpd_blend,1,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,2,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,3,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,4,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,elpd_blend,5,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,elpd_blend,6,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,7,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,8,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,9,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,10,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,11,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,12,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,13,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,14,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,elpd_blend,15,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,16,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,elpd_blend,17,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,elpd_blend,18,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,19,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,20,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,elpd_blend,21,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,22,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,23,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,24,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,25,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,26,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,27,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,28,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,29,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,30,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,31,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,elpd_blend,32,True,17,1,0.007843166589736938,
